City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,279.98,98,100,5.09,SJ,1691700974
1,iqaluit,63.7506,-68.5145,282.0,87,40,5.14,CA,1691701005
2,conde,-7.2597,-34.9075,297.85,78,20,4.12,BR,1691701463
3,torghay,49.6339,63.4981,294.76,55,31,6.09,KZ,1691701463
4,longyearbyen,78.2186,15.6401,283.06,81,100,1.03,SJ,1691700988
5,grytviken,-54.2811,-36.5092,271.64,97,95,3.29,GS,1691700973
6,puerto natales,-51.7236,-72.4875,276.17,80,100,2.81,CL,1691700976
7,port-aux-francais,-49.35,70.2167,277.08,90,100,14.89,TF,1691700979
8,yellowknife,62.456,-114.3525,294.44,46,100,1.54,CA,1691700973
9,blackmans bay,-43.0167,147.3167,281.22,84,100,3.22,AU,1691700976
10,dzuunmod,48.2199,97.3744,282.71,86,0,1.42,MN,1691701287
11,east london,-33.0153,27.9116,291.94,70,0,6.27,ZA,1691700945
12,aasiaat,68.7098,-52.8699,276.43,87,100,4.18,GL,1691700995
13,taulaga,-11.0553,-171.0883,301.43,72,99,5.48,AS,1691701257
14,hammerfest,70.6634,23.6821,298.4,53,0,4.12,NO,1691701007
15,say,13.1007,2.3689,301.46,73,93,6.81,NE,1691701464
16,talnakh,69.4865,88.3972,285.49,64,90,6.93,RU,1691700979
17,georgetown,5.4112,100.3354,299.11,92,20,1.03,MY,1691700797
18,kavaratti,10.5669,72.642,301.03,77,100,7.61,IN,1691701026
19,st. john's,47.5649,-52.7093,294.7,89,75,4.12,CA,1691700703
20,ust-nera,64.5667,143.2,292.15,47,9,0.61,RU,1691701001
21,puerto deseado,-47.7503,-65.8938,284.62,57,44,6.24,AR,1691701015
22,yulinshi,38.2906,109.7494,296.43,83,100,1.74,CN,1691701465
23,waitangi,-43.9535,-176.5597,284.72,96,77,0.45,NZ,1691700972
24,ushuaia,-54.8,-68.3,273.96,100,75,3.6,AR,1691700989
25,atafu village,-8.5421,-172.5159,301.44,71,31,5.35,TK,1691700992
26,midvagur,62.0511,-7.1939,284.61,93,100,6.17,FO,1691701465
27,port elizabeth,-33.918,25.5701,287.31,94,4,1.03,ZA,1691700993
28,edinburgh of the seven seas,-37.0676,-12.3116,285.23,69,28,12.09,SH,1691700974
29,bilibino,68.0546,166.4372,283.18,79,100,1.78,RU,1691700973
30,hithadhoo,-0.6,73.0833,300.56,79,92,5.02,MV,1691701028
31,udachny,66.4167,112.4,289.51,82,84,2.43,RU,1691700978
32,nanchang,28.6833,115.8833,299.71,81,22,2.43,CN,1691701465
33,port mathurin,-19.6833,63.4167,295.79,80,43,8.87,MU,1691700995
34,qarauyl,48.9451,79.255,293.01,65,37,5.8,KZ,1691701288
35,usinsk,65.9939,57.5281,285.35,72,0,3.69,RU,1691701200
36,gadzhiyevo,69.2551,33.3362,289.22,75,0,4.97,RU,1691701247
37,adamstown,-25.066,-130.1015,290.86,64,28,11.28,PN,1691700972
38,hadibu,12.65,54.0333,298.62,82,49,6.61,YE,1691700972
39,bethel,41.3712,-73.414,296.49,85,100,0.45,US,1691700971
40,nolinsk,57.5596,49.9363,291.75,79,0,1.5,RU,1691701466
41,keflavik,64.0049,-22.5624,288.1,82,75,3.6,IS,1691700995
42,papao,-17.75,-149.55,299.97,68,38,8.95,PF,1691700998
43,utrik,11.2278,169.8474,300.9,70,13,4.93,MH,1691700972
44,wanning,18.8003,110.3967,300.51,82,96,4.13,CN,1691701030
45,guerrero negro,27.9769,-114.0611,300.03,60,6,7.62,MX,1691700950
46,hawaiian paradise park,19.5933,-154.9731,299.84,87,100,0.45,US,1691700971
47,flin flon,54.7682,-101.865,289.06,63,100,4.12,CA,1691701424
48,kodiak,57.79,-152.4072,285.88,88,100,3.09,US,1691700920
49,port alfred,-33.5906,26.891,293.08,58,0,4.75,ZA,1691700980
50,margaret river,-33.95,115.0667,285.56,75,97,2.31,AU,1691700976
51,ambalangoda,6.2355,80.0538,299.32,86,97,2.92,LK,1691701467
52,papatowai,-46.5619,169.4708,276.57,82,100,2.38,NZ,1691700982
53,saint-joseph,-21.3667,55.6167,292.36,81,8,1.3,RE,1691701467
54,ojinaga,29.5667,-104.4167,315.69,21,0,3.6,MX,1691701467
55,valdivia,-39.8142,-73.2459,282.2,87,64,3.94,CL,1691701467
56,hauterive,46.0901,3.4459,298.57,66,51,0.24,FR,1691701467
57,palmares do sul,-30.2578,-50.5097,292.74,88,26,3.27,BR,1691701250
58,albany,42.6001,-73.9662,298.38,96,100,0.44,US,1691700915
59,happy valley-goose bay,53.3168,-60.3315,290.32,63,75,4.63,CA,1691701004
60,neiafu,-18.65,-173.9833,298.53,83,75,2.57,TO,1691701000
61,ulladulla,-35.35,150.4667,278.28,84,0,2.19,AU,1691701247
62,lebu,-37.6167,-73.65,283.36,78,48,5.56,CL,1691700982
63,lompoc,34.6391,-120.4579,300.81,71,100,2.24,US,1691701018
64,thinadhoo,0.5333,72.9333,300.86,77,99,4.56,MV,1691701468
65,tiksi,71.6872,128.8694,290.12,49,3,2.14,RU,1691700977
66,west island,-12.1568,96.8225,298.14,88,100,5.66,CC,1691700983
67,kingston,17.997,-76.7936,304.68,74,20,8.75,JM,1691700925
68,nampula,-15.1165,39.2666,291.12,77,20,5.36,MZ,1691701468
69,ilulissat,69.2167,-51.1,281.16,76,75,2.06,GL,1691700975
70,conduaga,8.862,117.4893,299.69,86,100,2.57,PH,1691701468
71,richards bay,-28.783,32.0377,288.95,82,0,3.06,ZA,1691700924
72,coyhaique,-45.5752,-72.0662,283.12,57,75,2.57,CL,1691701295
73,stanley,54.868,-1.6985,292.99,84,0,1.54,GB,1691700994
74,seven pagodas,12.6264,80.1722,300.4,76,100,2.86,IN,1691701469
75,praia da vitoria,38.7333,-27.0667,297.46,83,40,3.27,PT,1691701065
76,college,64.8569,-147.8028,294.37,88,100,0.0,US,1691700976
77,paracuru,-3.41,-39.0306,299.88,79,44,6.46,BR,1691701469
78,lihue,21.9789,-159.3672,301.73,68,75,6.69,US,1691701002
79,new plymouth,-39.0667,174.0833,279.44,65,3,1.72,NZ,1691701018
